adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Non-adopter,63,63,17.4116604,37.5,Bachelor Degree,"(1500,2000]",0,2,88,1,Democrat,California
Non-adopter,200,350,14.1458314,37.5,Some College,"(2000,3000]",1,1,33,0,Democrat,New Jersey
Adopter,160,190,18.2273476,62.5,Bachelor Degree,"(1500,2000]",1,3,67,1,Republican,California
Adopter,65,90,17.0696245,87.5,Bachelor Degree,"(1500,2000]",0,3,65,1,Republican,California
Non-adopter,80,65,18.6221576,125,Graduate Degree,"(1000,1500]",0,3,71,0,Democrat,California
Non-adopter,63,88,18.700047,125,Some College,"(1000,1500]",0,2,53,1,Republican,California
Non-adopter,38,18,17.4354629,125,Graduate Degree,"(0,1000]",0,2,35,0,Democrat,California
Adopter,225,325,18.1662272,62.5,Some College,"(1500,2000]",0,2,67,0,Independent,California
Adopter,140,140,18.700047,125,Graduate Degree,"(1500,2000]",0,2,52,0,Independent,California
Non-adopter,63,63,17.7295933,87.5,Some College,"(1000,1500]",0,2,77,1,Democrat,California
Non-adopter,105,75,18.5442682,87.5,Some College,"(2000,3000]",0,2,62,1,Independent,California
Adopter,500,100,18.2302849,87.5,Some College,"(1000,1500]",1,2,29,0,Independent,California
Non-adopter,40,150,13.1444937,37.5,Some College,"(1500,2000]",0,2,62,0,Democrat,New York
Non-adopter,450,200,19.2908626,62.5,Bachelor Degree,"(2000,3000]",0,2,31,0,Democrat,California
Adopter,200,180,17.2770336,62.5,Bachelor Degree,"(1500,2000]",0,3,65,1,Democrat,California
Non-adopter,175,175,13.8216355,250,Bachelor Degree,"(2000,3000]",1,2,46,0,Independent,New York
Non-adopter,275,125,14.1458314,62.5,Bachelor Degree,"(2000,3000]",0,2,49,0,Independent,New Jersey
Adopter,85,100,17.7295933,125,Some College,"(1500,2000]",1,2,52,0,Democrat,California
Non-adopter,225,125,19.2330297,62.5,Some College,"(1500,2000]",0,2,67,1,Independent,Arizona
